relative_path,case_number,contrast_type,slice_number,TRAIN_VAL_TEST,status
file_brain_AXFLAIR_200_6002452/processed/slice_1.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,1,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_2.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,2,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_3.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,3,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_4.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,4,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_5.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,5,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_6.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,6,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_7.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,7,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_8.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,8,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_9.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,9,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_10.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,10,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_11.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,11,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_12.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,12,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_13.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,13,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_14.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,14,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_15.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,15,TRAIN,Success
file_brain_AXFLAIR_200_6002452/processed/slice_16.mat,file_brain_AXFLAIR_200_6002452,AXFLAIR,16,TRAIN,Success
file_brain_AXFLAIR_200_6002467/processed/slice_1.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,1,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_2.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,2,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_3.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,3,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_4.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,4,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_5.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,5,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_6.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,6,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_7.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,7,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_8.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,8,TEST,Success
file_brain_AXFLAIR_200_6002467/processed/slice_9.mat,file_brain_AXFLAIR_200_6002467,AXFLAIR,9,TEST,Success
